#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -1.731080734383e+00  3.185901465780e-02 -1.089138818569e+00  8.693153545405e-01  -1.691189005425e+00  1.716940944820e-02 -1.082528057429e+00  8.785522374729e-01
 -1.691189005425e+00  1.716940944820e-02 -1.082528057429e+00  8.785522374729e-01  -1.661465792391e+00  7.240988794666e-03 -1.077943660128e+00  8.854302711434e-01
 -1.661465792391e+00  7.240988794666e-03 -1.077943660128e+00  8.854302711434e-01  -1.613281471616e+00 -7.068054790877e-03 -1.071111516851e+00  8.965497531081e-01
 -1.613281471616e+00 -7.068054790877e-03 -1.071111516851e+00  8.965497531081e-01  -1.591868522131e+00 -1.273482133038e-02 -1.068307212533e+00  9.014716717360e-01
 -1.591868522131e+00 -1.273482133038e-02 -1.068307212533e+00  9.014716717360e-01  -1.552707377265e+00 -2.202232269194e-02 -1.063537503885e+00  9.104290012778e-01
 -1.552707377265e+00 -2.202232269194e-02 -1.063537503885e+00  9.104290012778e-01  -1.521462800949e+00 -2.845174830711e-02 -1.060057409675e+00  9.175241407466e-01
 -1.521462800949e+00 -2.845174830711e-02 -1.060057409675e+00  9.175241407466e-01  -1.466913059800e+00 -3.763501269506e-02 -1.054653394420e+00  9.297699736398e-01
 -1.466913059800e+00 -3.763501269506e-02 -1.054653394420e+00  9.297699736398e-01  -1.451322261391e+00 -3.979008349597e-02 -1.053262170695e+00  9.332303526557e-01
 -1.451322261391e+00 -3.979008349597e-02 -1.053262170695e+00  9.332303526557e-01  -1.425086978605e+00 -4.295185544392e-02 -1.051071491027e+00  9.390068694863e-01
 -1.425086978605e+00 -4.295185544392e-02 -1.051071491027e+00  9.390068694863e-01  -1.382480155570e+00 -4.685890242546e-02 -1.047907818472e+00  9.482469096847e-01
 -1.382480155570e+00 -4.685890242546e-02 -1.047907818472e+00  9.482469096847e-01  -1.326132712961e+00 -4.973037251963e-02 -1.044450057605e+00  9.601452527541e-01
 -1.326132712961e+00 -4.973037251963e-02 -1.044450057605e+00  9.601452527541e-01  -1.314028667678e+00 -5.001104572995e-02 -1.043812038901e+00  9.626456298955e-01
 -1.314028667678e+00 -5.001104572995e-02 -1.043812038901e+00  9.626456298955e-01  -1.257121710388e+00 -4.976449061598e-02 -1.041290210346e+00  9.740913717738e-01
 -1.257121710388e+00 -4.976449061598e-02 -1.041290210346e+00  9.740913717738e-01  -1.245051180100e+00 -4.938410096660e-02 -1.040853748195e+00  9.764464313298e-01
 -1.245051180100e+00 -4.938410096660e-02 -1.040853748195e+00  9.764464313298e-01  -1.231400120616e+00 -4.881733139521e-02 -1.040400310389e+00  9.790759855072e-01
 -1.231400120616e+00 -4.881733139521e-02 -1.040400310389e+00  9.790759855072e-01  -1.176483972300e+00 -4.509370191068e-02 -1.038990833481e+00  9.892540750659e-01
 -1.176483972300e+00 -4.509370191068e-02 -1.038990833481e+00  9.892540750659e-01  -1.152995884805e+00 -4.280804063193e-02 -1.038580596414e+00  9.933896208602e-01
 -1.152995884805e+00 -4.280804063193e-02 -1.038580596414e+00  9.933896208602e-01  -1.109189285346e+00 -3.746790255588e-02 -1.038098440598e+00  1.000703598751e+00
 -1.109189285346e+00 -3.746790255588e-02 -1.038098440598e+00  1.000703598751e+00  -1.059654469158e+00 -2.979962010609e-02 -1.037950458739e+00  1.008265098698e+00
 -1.059654469158e+00 -2.979962010609e-02 -1.037950458739e+00  1.008265098698e+00  -1.042091419514e+00 -2.668264100740e-02 -1.037986050916e+00  1.010744051209e+00
 -1.042091419514e+00 -2.668264100740e-02 -1.037986050916e+00  1.010744051209e+00  -9.827196600191e-01 -1.469969854123e-02 -1.038377092067e+00  1.018239709005e+00
 -9.827196600191e-01 -1.469969854123e-02 -1.038377092067e+00  1.018239709005e+00  -9.740239356341e-01 -1.276759572468e-02 -1.038462289266e+00  1.019213629991e+00
 -9.740239356341e-01 -1.276759572468e-02 -1.038462289266e+00  1.019213629991e+00  -9.172902782520e-01  8.318710481888e-04 -1.039117664869e+00  1.024701942525e+00
 -9.172902782520e-01  8.318710481888e-04 -1.039117664869e+00  1.024701942525e+00  -9.055199149960e-01  3.850103773162e-03 -1.039263697920e+00  1.025640165357e+00
 -9.055199149960e-01  3.850103773162e-03 -1.039263697920e+00  1.025640165357e+00  -8.565318259420e-01  1.700912383533e-02 -1.039836079358e+00  1.028733740588e+00
 -8.565318259420e-01  1.700912383533e-02 -1.039836079358e+00  1.028733740588e+00  -8.368970325915e-01  2.250499077205e-02 -1.040024347494e+00  1.029583548809e+00
 -8.368970325915e-01  2.250499077205e-02 -1.040024347494e+00  1.029583548809e+00  -7.671230395593e-01  4.258348692848e-02 -1.040279627746e+00  1.030608877548e+00
 -7.671230395593e-01  4.258348692848e-02 -1.040279627746e+00  1.030608877548e+00  -7.661950471356e-01  4.285240813049e-02 -1.040276999147e+00  1.030600212226e+00
 -7.661950471356e-01  4.285240813049e-02 -1.040276999147e+00  1.030600212226e+00  -7.657502590555e-01  4.298128292454e-02 -1.040275669174e+00  1.030595837760e+00
 -7.657502590555e-01  4.298128292454e-02 -1.040275669174e+00  1.030595837760e+00  -6.905533824096e-01  6.428901140517e-02 -1.039273846451e+00  1.027738457284e+00
 -6.905533824096e-01  6.428901140517e-02 -1.039273846451e+00  1.027738457284e+00  -6.793448344846e-01  6.731406625301e-02 -1.038966061512e+00  1.026935387181e+00
